"scenario","true_link_function","fitted_link_function","interaction_p","interaction_coef","dharma_uniformity_p","dharma_dispersion_p","dharma_quantile_fitted_p","dharma_quantile_predictor_p","dharma_categorical_design_p","dharma_valid_tests","dharma_tests_used","pregibon_link_test_p","dharma_wrong_uniformity_p","dharma_wrong_dispersion_p","dharma_wrong_quantile_fitted_p","dharma_wrong_quantile_predictor_p","dharma_wrong_categorical_design_p","dharma_wrong_valid_tests","dharma_wrong_tests_used","dharma_correct_uniformity_p","dharma_correct_dispersion_p","dharma_correct_quantile_fitted_p","dharma_correct_quantile_predictor_p","dharma_correct_categorical_design_p","dharma_correct_valid_tests","dharma_correct_tests_used","pregibon_wrong_p","pregibon_correct_p","aic_true_link_interaction","aic_fitted_link_interaction","aic_favors_true_link","aic_favors_fitted_link","aic_fitted_minus_true","target_fit_converged","target_fit_gradient_max","target_fit_hessian_min_eigen"
"Count errors","log","identity",0.000494349315316723,-0.81567481001989,0.318621511058333,0.352,0.000935825603675722,0.00021323676225693,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.17163429832449e-05,0.318621511058333,0.352,0.000935825603675722,0.00021323676225693,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.712088845658764,0.864,0.856749255641834,0.859281804527777,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.17163429832449e-05,0.448900608841424,737.888545508244,760.314354152101,TRUE,FALSE,22.4258086438565,NA,NA,NA
"Count errors","log","identity",0.000974435835368355,-0.795841316173559,0.891272728681281,0.808,0.0115957529157574,0.000914025501345894,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.78700084912093e-06,0.891272728681281,0.808,0.0115957529157574,0.000914025501345894,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.913321246349446,0.44,0.972076867521697,0.968525276220085,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.78700084912093e-06,0.252108086199344,729.317004233277,746.956475006987,TRUE,FALSE,17.6394707737099,NA,NA,NA
"Count errors","log","identity",0.0885106341262133,-0.393093650632715,0.909398142020589,0.272,8.78079759549788e-05,3.27592011450939e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.26549156174208e-07,0.909398142020589,0.272,8.78079759549788e-05,3.27592011450939e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.561674338100992,0.488,0.931385159403567,0.882600943839989,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.26549156174208e-07,0.505329130034562,686.636772500538,722.56441378857,TRUE,FALSE,35.9276412880317,NA,NA,NA
"Count errors","log","identity",1.10186511672095e-08,-1.25931568354235,0.430320703772456,0.448,0.660059716334656,0.166876006023639,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00322197080442526,0.430320703772456,0.448,0.660059716334656,0.166876006023639,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.957930366624601,0.712,0.863746989090326,0.692396408900388,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00322197080442526,0.0781941974312679,716.955520242554,722.302023883332,TRUE,FALSE,5.346503640778,NA,NA,NA
"Count errors","log","identity",0.0123935241195274,-0.648685898461275,0.621285404771238,0.752,0.55637393712794,0.134129203476223,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00193674478366821,0.621285404771238,0.752,0.55637393712794,0.134129203476223,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.666196724642954,0.432,0.963021331012221,0.766348388054586,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00193674478366821,0.685484351582656,739.344052588701,749.303189183515,TRUE,FALSE,9.95913659481369,NA,NA,NA
"Count errors","log","identity",0.0922286275299564,-0.421682595025897,0.504989972434674,0.056,0.0013297931180904,0.000204890313210859,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.25671854280533e-08,0.504989972434674,0.056,0.0013297931180904,0.000204890313210859,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.848750356949966,0.544,0.236269099630691,0.0715358278969663,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.25671854280533e-08,0.163342633254536,778.283947275821,809.722315499158,TRUE,FALSE,31.4383682233369,NA,NA,NA
"Count errors","log","identity",1.29902062358823e-07,-1.29053665217949,0.671014422787062,0.848,0.0208506711708832,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.52765468376574e-06,0.671014422787062,0.848,0.0208506711708832,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.337484232178315,0.104,0.950480934991559,0.939169111616093,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.52765468376574e-06,0.875743472135141,725.111436965123,747.779895294767,TRUE,FALSE,22.668458329644,NA,NA,NA
"Count errors","log","identity",0.000974736957952985,-0.800037885045701,0.88265974212644,0.744,0.000125544997272298,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.24222514048379e-07,0.88265974212644,0.744,0.000125544997272298,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.595905363356893,0.032,0.802678199839437,0.789024814234836,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.24222514048379e-07,0.690073951710067,684.219763481492,717.956082928248,TRUE,FALSE,33.7363194467558,NA,NA,NA
"Count errors","log","identity",1.28270909727874e-05,-1.03780388621029,0.160114757392283,0.168,5.61410793679662e-07,0.0292730172371377,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.887141393261e-05,0.160114757392283,0.168,5.61410793679662e-07,0.0292730172371377,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.399911425319117,0.568,0.00600306537997676,0.437665149587864,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.887141393261e-05,0.320176402281724,775.889876347906,793.448639308332,TRUE,FALSE,17.5587629604257,NA,NA,NA
"Count errors","log","identity",0.00317182033819951,-0.731743359790601,0.796583192712142,0.6,0.0253386143795937,0.000104803789511831,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",3.73848528561436e-06,0.796583192712142,0.6,0.0253386143795937,0.000104803789511831,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.42755577598938,0.52,0.947504410146046,0.990981919354058,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",3.73848528561436e-06,0.389512198911148,737.042157650144,759.316672029134,TRUE,FALSE,22.2745143789905,NA,NA,NA
"Count errors","log","identity",0.0021498619417136,-0.760167226345293,0.825242063065728,0.128,0.0263951648183975,2.98239015210644e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.02859676618097e-05,0.825242063065728,0.128,0.0263951648183975,2.98239015210644e-05,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.84603006504316,0.64,0.863757687497125,0.59609491827073,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.02859676618097e-05,0.998468718898578,745.856143584484,767.111132138434,TRUE,FALSE,21.2549885539501,NA,NA,NA
"Count errors","log","identity",5.4148189841002e-05,-1.02972127410381,0.798962613832201,0.456,0.127168156750576,0.0322302907162444,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000173833846888912,0.798962613832201,0.456,0.127168156750576,0.0322302907162444,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.979519001680065,0.984,0.966242120526289,0.957186742429109,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000173833846888912,0.941453158487682,751.347836809631,768.791347408834,TRUE,FALSE,17.443510599203,NA,NA,NA
"Count errors","log","identity",0.0067346144365599,-0.636011783382642,0.988568214873666,0.128,0.0259637731917696,0.00224939830853443,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.70381998195975e-07,0.988568214873666,0.128,0.0259637731917696,0.00224939830853443,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.401368691026654,0.944,0.314615075932989,0.202563792492141,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",6.70381998195975e-07,0.892234383640587,730.06469723601,757.232840712849,TRUE,FALSE,27.1681434768381,NA,NA,NA
