"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model","fitted_link","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition","diagnostic_source_slice","diagnostic_paper_anchor","diagnostic_slice_membership","wrong_fitted_link","wrong_model_label","diagnostic_note","diagnostic","applicable","computed","B_requested","dharma_n_sim","n_attempted","n_successful","detection_count","detection_rate","detection_mc_se","detection_ci_low","detection_ci_high","pseudo_interaction_n_successful","pseudo_interaction_detection_count","pseudo_interaction_detection_rate","pseudo_interaction_mc_se","pseudo_interaction_ci_low","pseudo_interaction_ci_high","aic_delta_n","aic_delta_median","aic_delta_q25","aic_delta_q75","aic_delta_within_two_rate","fit_success_rate","generated_at","atlas_version","run_type"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over fitted values",TRUE,TRUE,3000,250,3000,3000,70,0.0233333333333333,0.00275613793129014,0.0185101345503412,0.0293757012344695,3000,1778,0.592666666666667,0.008970560905705,0.574977030030024,0.610119290006216,3000,2.24620870011984,0.220415491981555,4.54903507843557,0.384333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over focal predictor",TRUE,TRUE,3000,250,3000,3000,183,0.061,0.00436955375295922,0.0529843310254597,0.0701384981553765,3000,1778,0.592666666666667,0.008970560905705,0.574977030030024,0.610119290006216,3000,2.24620870011984,0.220415491981555,4.54903507843557,0.384333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual distribution across design cells",FALSE,FALSE,3000,250,3000,0,0,,,,,3000,1778,0.592666666666667,0.008970560905705,0.574977030030024,0.610119290006216,3000,2.24620870011984,0.220415491981555,4.54903507843557,0.384333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-002","forced_choice","sample_size","diagnostic_anchor;sample_size;severity",TRUE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",TRUE,"diagnostic_anchor;sample_size;severity","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","Pregibon-style added-term link check",TRUE,TRUE,3000,250,3000,3000,913,0.304333333333333,0.00840068559812344,0.288127149167334,0.321039973633844,3000,1778,0.592666666666667,0.008970560905705,0.574977030030024,0.610119290006216,3000,2.24620870011984,0.220415491981555,4.54903507843557,0.384333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","AIC favors generating link",TRUE,TRUE,3000,250,3000,3000,2563,0.854333333333333,0.00644070102004663,0.841256591360698,0.866503797842621,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa uniformity",TRUE,TRUE,3000,250,3000,3000,0,0,0,0,0.00127884872532596,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa dispersion",TRUE,TRUE,3000,250,3000,3000,30,0.01,0.0018165902124585,0.00701370425398682,0.0142395674968326,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over fitted values",TRUE,TRUE,3000,250,3000,3000,46,0.0153333333333333,0.00224337708393857,0.0115155239447749,0.020390773419641,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual quantiles over focal predictor",TRUE,TRUE,3000,250,3000,2999,332,0.110703567855952,0.00572948848671601,0.099968134152172,0.122435035638542,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
"D-FC-003","forced_choice","sample_size","sample_size",FALSE,"Lower performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,500,20,0.5,6,10,8,-0.8,0.6,-0.9,0,1,1,"beta_intercept",-0.8,,,,,,,,,,,,,,,,,,,"sample_size",FALSE,"sample_size","logit","Standard binomial logit","Paper framework: chance-corrected logit generated, standard logit fitted.","DHARMa residual distribution across design cells",FALSE,FALSE,3000,250,3000,0,0,,,,,3000,2606,0.868666666666667,0.0061667087085654,0.856107203823245,0.880283191716615,3000,4.44157996466038,1.66695626950298,7.66242724737128,0.210333333333333,1,"2026-08-25 20:22:43 UTC","0.1.0","full"
