"scenario_id","family","slice","slice_membership","paper_anchor","scenario_label","generating_model","generating_link","fitted_model_set","fitted_link_set","base_seed","seed_rule","B","alpha","generating_interaction","N","k_trials","chance","age_min","age_max","age_center","beta_intercept","beta_age","beta_group","beta_age_group","beta_main_1_multiplier","beta_main_2_multiplier","varied_parameter","varied_value","J","item_max","theta_sd","beta_x","beta_x_group","x_min","x_max","threshold_shift","n_subjects","target_icc","reference_beta_intercept","reference_beta_group","reference_beta_condition","reference_beta_group_condition","logit_probit_scale","coefficient_scale","beta_condition","beta_group_condition","model_label","fitted_link","fit_structure","B_requested","n_attempted","n_successful_fits","n_failed_fits","fit_success_rate","false_positive_count","false_positive_rate","false_positive_mc_se","false_positive_ci_low","false_positive_ci_high","median_interaction_coefficient","median_interaction_se","median_response_scale_did","median_outcome_scale_did","deterministic_pseudo_interaction","deterministic_response_scale_did","n_convergence_problems","convergence_problem_rate","fit_problem_messages","rate_type","generated_at","atlas_version","run_type"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Chance-corrected binomial logit","chance-corrected logit",,3,3,3,0,1,0,0,0,0,0.561497031755045,-0.0817690230197601,0.112653318197696,-0.0515852624068427,-1.03170524813685,0,-0.0358519356909944,0,0,"","Nominal generating-scale rejection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Gaussian identity","identity",,3,3,3,0,1,0,0,0,0,0.561497031755045,-0.0112451406368068,0.0107603673890582,-0.0449805625472273,-0.899611250944545,-0.0358519356909944,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Standard binomial logit","logit",,3,3,3,0,1,2,0.666666666666667,0.272165526975909,0.207659600802048,0.938508055279604,-0.121425960462288,0.0580006270576109,-0.0494146737243517,-0.988293474487034,-0.472741965870331,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"FC-002","forced_choice","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;trial_count;chance_level",TRUE,"Middle performance","Chance-corrected binomial","chance-corrected logit","Gaussian identity;Standard binomial logit;Standard binomial probit;Chance-corrected binomial logit","identity;logit;probit;chance-corrected logit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,250,20,0.5,6,10,8,0,0.6,-0.9,0,1,1,"beta_intercept",0,,,,,,,,,,,,,,,,,,,"Standard binomial probit","probit",,3,3,3,0,1,2,0.666666666666667,0.272165526975909,0.207659600802048,0.938508055279604,-0.0656112509669448,0.0343455489490177,-0.0488529588125364,-0.977059176250727,-0.242607035150972,-0.0358519356909944,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"SS-002","sum_scores","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;item_count;latent_dispersion",TRUE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"Gaussian-probit bounded score","probit",,3,3,3,0,1,1,0.333333333333333,0.272165526975909,0.0614919447203963,0.792340399197952,-0.0782618946756767,0.05086634610784,-0.0858632787470884,-2.31830852617139,-0.00960515997510131,-0.025766699993913,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"SS-002","sum_scores","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;item_count;latent_dispersion",TRUE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"Latent generating scale","identity latent benchmark",,3,3,3,0,1,2,0.666666666666667,0.272165526975909,0.207659600802048,0.938508055279604,-0.0983639871421792,0.0822745293313127,-0.00728622126979106,-0.196727974284359,0,-0.025766699993913,0,0,"","Nominal generating-scale rejection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"SS-002","sum_scores","paper_anchor","paper_anchor;main_effect_surface;sample_size;scale_location;item_count;latent_dispersion",TRUE,"Middle range","Deterministic graded-response item model","graded logistic latent scale","Observed sum-score identity;Gaussian-probit bounded score;Latent generating scale","identity;probit;identity latent benchmark",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",500,0.05,0,600,,,,,,,,-0.9,,1,1,"threshold_shift",0,9,3,1,0.85,0,-1,1,0,,,,,,,,,,,"Observed sum-score identity","identity",,3,3,3,0,1,2,0.666666666666667,0.272165526975909,0.207659600802048,0.938508055279604,-1.01156606635049,0.447441309351253,-0.0749308197296656,-2.02313213270097,-0.695700899835652,-0.025766699993913,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"WF-002","within_family","paper_anchor","paper_anchor;main_effect_surface;sample_size;trial_count;latent_location;icc",TRUE,"Probit-generated manuscript scenario","Random-intercept binomial","probit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,1.5,,-1,,1,1,"",,,,,,,,,,700,0.3,1.5,-1,-1,0,1.65,1,-1,0,"Binomial logit","logit","random-intercept GLMM",2,2,2,0,1,0,0,0,0,0.657619772493347,0.0892589195936973,0.0765991797261188,-0.165804687444858,-0.165804687444858,0.21590490629677,-0.141194585090897,0,0,"","Pseudo-interaction detection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
"WF-002","within_family","paper_anchor","paper_anchor;main_effect_surface;sample_size;trial_count;latent_location;icc",TRUE,"Probit-generated manuscript scenario","Random-intercept binomial","probit","Binomial logit;Binomial probit","logit;probit",20260807,"seed = (base_seed + stream_offset + scenario_number * 10000 + replication) modulo .Machine$integer.max",300,0.05,0,,15,,,,,1.5,,-1,,1,1,"",,,,,,,,,,700,0.3,1.5,-1,-1,0,1.65,1,-1,0,"Binomial probit","probit","random-intercept GLMM",2,2,2,0,1,0,0,0,0,0.657619772493347,0.00741293470896809,0.0431510492544409,-0.141791293645185,-0.141791293645185,0,-0.141194585090897,0,0,"","Nominal generating-scale rejection rate","2026-08-07 13:21:56 UTC","0.1.0","smoke"
