"generating_link","fitted_link","link_match","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","median_interaction_se","deterministic_product_on_fitted_link_scale","deterministic_response_scale_difference_in_differences","rate_type"
"logit","logit","Matched link",3000,151,0.0503333333333333,0.0430687769985802,0.058748000955063,0.000794975947594066,0.075330886059631,-1.33226762955019e-15,-0.163519470599184,"Nominal rejection rate"
"logit","probit","Wrong link",3000,496,0.165333333333333,0.152469894649818,0.179052748097,-0.041046635681764,0.0425257107899437,-0.111562810312494,-0.163519470599184,"Pseudo-interaction detection rate"
"probit","logit","Wrong link",3000,524,0.174666666666667,0.161498549392238,0.188666888178374,0.0770329395794177,0.0762177477342942,0.21590490629677,-0.141194585090897,"Pseudo-interaction detection rate"
"probit","probit","Matched link",3000,162,0.054,0.0464676493165852,0.0626730837464055,-0.000155086764124364,0.0429103245389641,2.22044604925031e-16,-0.141194585090897,"Nominal rejection rate"
