"scenario","paper_anchor","outcome_family","true_link_function","fitted_link_function","true_model_label","fitted_model_label","quantitative_description","variability_summary","n_replications","pseudo_interaction_detection_rate","pseudo_interaction_detection_ci_low","pseudo_interaction_detection_ci_high","dharma_detection_rate_min","dharma_detection_rate_max","dharma_checks_used","dharma_n_checks_used","pregibon_detection_rate","pregibon_detection_ci_low","pregibon_detection_ci_high","aic_favors_target","aic_favors_true_link","aic_favors_fitted_link","n_aic_pairs","median_aic_fitted_minus_true","q10_aic_fitted_minus_true","q25_aic_fitted_minus_true","q75_aic_fitted_minus_true","q90_aic_fitted_minus_true","aic_difference_within_2","target_fit_converged_rate","target_fit_gradient_max","false_positive_interaction","false_positive_interaction_ci_low","false_positive_interaction_ci_high","dharma_detection_min","dharma_detection_max","pregibon_detection"
"Count errors","Simple count example figure","Poisson count","log","identity","Poisson log","Poisson identity","Simple count example figure coefficients: log(E[y]) = 2.2 + -0.55 * (age - 6) + 0.45 * group; no age-by-group product term.","Poisson sampling; variance equals mean.",2774,0.961427541456381,0.953599772727082,0.967979099915572,NA,NA,"",0,0.99351117519827,0.989765876835019,0.995891526796069,0.989185291997116,0.989185291997116,0.0108147080028839,2774,22.5437552869458,10.1889726677917,16.1698873677351,29.6296814036317,36.1517186411326,0.0115356885364095,NA,NA,0.961427541456381,0.953599772727082,0.967979099915572,NA,NA,0.99351117519827
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.",3000,0.600333333333333,0.582687751866715,0.61772229248907,NA,NA,"",0,0.289333333333333,0.273384578738846,0.305820909524091,0.782,0.782,0.218,3000,2.22050610962401,-1.56579946443646,0.296954406692294,4.35247510481548,6.59069377597072,0.392,1,0.000520840015517887,0.600333333333333,0.582687751866715,0.61772229248907,NA,NA,0.289333333333333
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.",3000,0.101,0.0907223715368101,0.112298149746,NA,NA,"",0,NA,NA,NA,0.957,0.957,0.043,3000,5.9831909159293,1.53867820196228,3.63450928539532,8.2314631336767,10.2503866923013,0.119,NA,NA,0.101,0.0907223715368101,0.112298149746,NA,NA,NA
"Binary continuous predictor","Matched continuous-predictor counterpart to Simulation 2","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Matched continuous counterpart to the 2 x 2 binary scenario: eta = 1.5 + -1 * group + -1 * x + subject random intercept; x ~ Uniform(0, 1). Thus the x = 0 to x = 1 contrast has the same probit-scale size as the condition 0 to 1 contrast; latent ICC = 0.3; no group-by-x product term.","Matched to the 2 x 2 binary scenario: same fixed effects, same latent ICC = .30, and 30 binary trials per subject; condition is replaced by x ~ Uniform(0, 1).",3000,0.0646666666666667,0.0564108461840562,0.0740359381061275,NA,NA,"",0,0.0513333333333333,0.043994659229371,0.0598195610268215,0.957666666666667,0.957666666666667,0.0423333333333333,3000,4.93555534010375,1.18961367967131,2.90934437164196,6.81061243021531,8.58020628416325,0.155666666666667,NA,NA,0.0646666666666667,0.0564108461840562,0.0740359381061275,NA,NA,0.0513333333333333
"Gamma mean response time","Gamma response-time example from the introduction (log versus inverse link)","Gamma positive continuous","log","inverse","Gamma log","Gamma inverse","Gamma response-time example, log-link scale: log(E[y]) = log(400) + 0.25 * x + 0.25 * group; Gamma shape = 8; no x-by-group product term.","Gamma sampling with shape = 8; mean around 400 ms at x = 0, group = 0.",3000,0.291333333333333,0.275349031247408,0.307851341620629,NA,NA,"",0,0.338,0.321289933877051,0.355124413109955,0.802,0.802,0.198,3000,2.57184653349304,-1.41171739870065,0.513974356957988,4.60785003369676,6.47351086066346,0.357,NA,NA,0.291333333333333,0.275349031247408,0.307851341620629,NA,NA,0.338
