"scenario","model","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type","change_in_group_difference_units"
"Lower range","Gaussian-probit bounded score",3000,280,0.0933333333333333,0.0834375697204818,0.104269227242783,-0.0176382295692141,-0.0178814299447309,0.057166851038908,-0.0552012049711894,0.0202186267012176,-0.129333049133553,0.0966762852570616,0.121755562426863,0.035620521228984,-0.0688044422756213,-1.85771994144178,-1.88114004472298,0.78008760491186,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Lower range","Latent generating scale",3000,145,0.0483333333333333,0.0412195796839997,0.0566023136645448,-0.00294277689541837,-0.0023700067851147,0.0826815944874858,-0.0570826994112113,0.0544219130038138,-0.162801322243914,0.158161783378958,0.186592210698568,0.053172316732057,-0.000217983473734691,-0.00588555379083666,-0.0047400135702294,0.165363188974972,"Nominal rejection rate","latent theta units"
"Lower range","Observed sum-score identity",3000,2177,0.725666666666667,0.709419704554302,0.741336441721001,-0.910048180918048,-0.915171168789298,0.372660492854157,-1.17481515487312,-0.661520390909022,-1.63436582862443,-0.182592191297085,1.05207503762793,0.513726001838592,-0.0674109763642999,-1.8200963618361,-1.8303423375786,0.745320985708314,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Middle range","Gaussian-probit bounded score",3000,114,0.038,0.0317279808987635,0.0454536753234377,-0.00368181511515707,-0.00312799630994842,0.0481463135812415,-0.0355735906653821,0.0288117306649332,-0.0951051296609192,0.0924245065219438,0.114765564260191,0.0305107755397482,-0.0239626791449208,-0.646992336912862,-0.640788602595432,0.929296960519885,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Middle range","Latent generating scale",3000,158,0.0526666666666667,0.0452304474168643,0.0612470292427273,0.000310235161958726,0.00076495395880575,0.0831617477403337,-0.0548839424293458,0.0534317566643124,-0.159001041146039,0.167214463355776,0.185330999270995,0.0507590329524064,2.29803823673144e-05,0.000620470323917488,0.0015299079176115,0.166323495480667,"Nominal rejection rate","latent theta units"
"Middle range","Observed sum-score identity",3000,243,0.081,0.0717642797966503,0.0913073954351728,-0.300089037475105,-0.299887982677007,0.419661753340727,-0.578502706507091,-0.0241210279825265,-1.12030832586774,0.539534565932525,1.02575169980752,0.331976742768073,-0.0222288175907485,-0.60017807495021,-0.599775965354013,0.839323506681455,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Upper range","Gaussian-probit bounded score",3000,158,0.0526666666666667,0.0452304474168643,0.0612470292427273,0.0073783087056519,0.0081354110384823,0.0502687414324253,-0.0229223649666328,0.0413705143612875,-0.092260940456078,0.108941889459937,0.115523388515658,0.0309176899800869,0.0530591518800041,1.43259710076011,1.43972998606763,0.874583771827712,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Upper range","Latent generating scale",3000,149,0.0496666666666667,0.0424519915854455,0.0580331581664981,-0.00169196900384703,-0.00103136307465634,0.0823865876842679,-0.0551842196082187,0.0547907523927736,-0.162226408419099,0.159622209569534,0.181823040868142,0.0516542584842176,-0.000125331037322002,-0.00338393800769404,-0.00206272614931268,0.164773175368536,"Nominal rejection rate","latent theta units"
"Upper range","Observed sum-score identity",3000,1078,0.359333333333333,0.342353975890388,0.376672473551003,0.677290843821497,0.681138993355758,0.399287756731232,0.419237049187112,0.947804493892882,-0.108583043711458,1.49229463711665,1.04195743857461,0.493637246022881,0.0501696921349257,1.35458168764299,1.36227798671152,0.798575513462465,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
